name,id,popularity,image,embded
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,37,https://images.genius.com/922a70bed33cffd486c9cd0fc4e4b376.770x433x1.jpg,https://open.spotify.com/embed/artist/0bsV0sUjnCuCTYOnNHQl3E?utm_source=generator&theme=0
Cassandra Jenkins,1WVGbBnzZ5WLZ2PfesIHik,34,https://images.genius.com/2449d77d3edb416e6959183df80aedd7.1000x1000x1.jpg,https://open.spotify.com/embed/artist/1WVGbBnzZ5WLZ2PfesIHik?utm_source=generator&theme=0
Kate Bollinger,4eArh1v6UwBbKkjdgHCned,56,https://images.genius.com/8fc81e67658539c2fca4a1be47d88f71.338x338x1.png,https://open.spotify.com/embed/artist/4eArh1v6UwBbKkjdgHCned?utm_source=generator&theme=0
Alex Lahey,5kdYrM3h2sB1Eid5tDf6Hk,42,https://images.genius.com/067746a7e4548e9ec8398a14fd02a9fe.400x400x1.png,https://open.spotify.com/embed/artist/5kdYrM3h2sB1Eid5tDf6Hk?utm_source=generator&theme=0
Black Belt Eagle Scout,1CUUXdvZE6UzwQyBUm5YVD,38,https://images.genius.com/27e4c9231ab19036e1e3cc7f1a3082cc.556x556x1.jpg,https://open.spotify.com/embed/artist/1CUUXdvZE6UzwQyBUm5YVD?utm_source=generator&theme=0
Sody,01y8iBZYk8aeNfPsuTVrAt,57,https://images.genius.com/8916b697c9f5100fb51a3754990dd60e.400x400x1.jpg,https://open.spotify.com/embed/artist/01y8iBZYk8aeNfPsuTVrAt?utm_source=generator&theme=0
Hazel English,1nEGjL7aMVdNQzsfQPKdGr,49,https://images.genius.com/83c805ec71a93fd61283b61822365835.460x460x1.jpg,https://open.spotify.com/embed/artist/1nEGjL7aMVdNQzsfQPKdGr?utm_source=generator&theme=0
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,78,https://images.genius.com/8d735c26481a71a65cb3605ee693a081.640x640x1.jpg,https://open.spotify.com/embed/artist/35l9BRT7MXmM8bv2WDQiyB?utm_source=generator&theme=0
Alice Phoebe Lou,03uMw43UVu9MsQCcHVSGjX,59,https://images.genius.com/7b7f698704fcdc6fa6e054829e4bb0fb.720x720x1.png,https://open.spotify.com/embed/artist/03uMw43UVu9MsQCcHVSGjX?utm_source=generator&theme=0
Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e,56,https://images.genius.com/d07215467e2960065f991336b41b0390.433x433x1.jpg,https://open.spotify.com/embed/artist/3ir2pF2mkiEWqyPenKTh5e?utm_source=generator&theme=0
Ada Lea,3sE8O47mEFWR6pL0rwnAHy,32,https://images.genius.com/d05968946cebb3abd538ce1476bb49df.1000x1000x1.jpg,https://open.spotify.com/embed/artist/3sE8O47mEFWR6pL0rwnAHy?utm_source=generator&theme=0
Kississippi,6t0a2t1BXxTQvAkxReClPm,42,https://images.genius.com/da7cfbc07c84f5632e48c05711a92b90.800x800x1.jpg,https://open.spotify.com/embed/artist/6t0a2t1BXxTQvAkxReClPm?utm_source=generator&theme=0
MUNA,6xdRb2GypJ7DqnWAI2mHGn,61,https://images.genius.com/a06ba9e225d27ee6ce3e781d07739363.1000x1000x1.jpg,https://open.spotify.com/embed/artist/6xdRb2GypJ7DqnWAI2mHGn?utm_source=generator&theme=0
Esmé Patterson,1PoFNQQDFXvOYm6Dx8coAa,32,https://images.genius.com/c9922a07a6a042901b112e7668b8ba7a.1000x1000x1.jpg,https://open.spotify.com/embed/artist/1PoFNQQDFXvOYm6Dx8coAa?utm_source=generator&theme=0
P.S. Eliot,5OPhZptrztOU4W75eMEPiX,24,https://images.genius.com/ea7aab6427b492a152965152e5c0d3bb.470x470x1.jpg,https://open.spotify.com/embed/artist/5OPhZptrztOU4W75eMEPiX?utm_source=generator&theme=0
Reneé Rapp,2hUYKu1x0UZQXvzCmggvSn,68,https://images.genius.com/fe0db32cbea85386a10c890c470b8f76.694x694x1.png,https://open.spotify.com/embed/artist/2hUYKu1x0UZQXvzCmggvSn?utm_source=generator&theme=0
Vagabon,17mwzDXKn4ra9cuxXaptwp,40,https://images.genius.com/044be7737e2bbd7401edea9a4cdb606d.617x617x1.jpg,https://open.spotify.com/embed/artist/17mwzDXKn4ra9cuxXaptwp?utm_source=generator&theme=0
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,70,https://images.genius.com/e8be1d7ae2f9fd6c6f954a46850ee3e1.640x640x1.jpg,https://open.spotify.com/embed/artist/2vnB6tuQMaQpORiRdvXF9H?utm_source=generator&theme=0
Doechii,4E2rKHVDssGJm2SCDOMMJB,64,https://images.genius.com/48c762bfd7ca60bf09d692b8829b1638.480x480x1.jpg,https://open.spotify.com/embed/artist/4E2rKHVDssGJm2SCDOMMJB?utm_source=generator&theme=0
Samia,1Uk1GyijF6fSfX4mWq5bfR,56,https://s3.amazonaws.com/filepicker-images-rapgenius/ggel27ewadp,https://open.spotify.com/embed/artist/1Uk1GyijF6fSfX4mWq5bfR?utm_source=generator&theme=0
Grace Gaustad,1F2JeQG9fLoC6flF1QTnxS,45,https://images.genius.com/58ef9e2c390903bf686ab80a7645269b.400x400x1.jpg,https://open.spotify.com/embed/artist/1F2JeQG9fLoC6flF1QTnxS?utm_source=generator&theme=0
JGrrey,66rDbD3tWR3M1uNuIaDAGx,48,https://images.genius.com/ba2a5ad9de45ed3cd0f918b57b618bb8.900x900x1.jpg,https://open.spotify.com/embed/artist/66rDbD3tWR3M1uNuIaDAGx?utm_source=generator&theme=0
fanclubwallet,1NJUWqbiNAk1BPOyQhb2qe,44,https://images.genius.com/4ce6e5ec9549339d8bbed97dd5fae9c6.729x729x1.jpg,https://open.spotify.com/embed/artist/1NJUWqbiNAk1BPOyQhb2qe?utm_source=generator&theme=0
Daisy the Great,0SrIPejckovMwhrN3MZFPB,53,https://images.genius.com/377254f8ad635d9fd57629dfb2a908cb.1000x1000x1.jpg,https://open.spotify.com/embed/artist/0SrIPejckovMwhrN3MZFPB?utm_source=generator&theme=0
Lala Lala,492I2sQFcHDcsZECYX25dE,45,https://images.genius.com/df00030da45b932a796033b0b8e51860.983x983x1.jpg,https://open.spotify.com/embed/artist/492I2sQFcHDcsZECYX25dE?utm_source=generator&theme=0
Dreamer Isioma,6u6AbTVrbabv27DLcSrF8i,59,https://images.genius.com/9b92fc817d8c55b0139510a054bf1144.1000x1000x1.jpg,https://open.spotify.com/embed/artist/6u6AbTVrbabv27DLcSrF8i?utm_source=generator&theme=0
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,64,https://images.genius.com/e64aa5f8eda440fb56c86a5fbd0d302d.409x409x1.jpg,https://open.spotify.com/embed/artist/7bcbShaqKdcyjnmv4Ix8j6?utm_source=generator&theme=0
Discovery Zone,4Q3A7ukbHFR5xThu9hZDZt,39,https://images.genius.com/0bc94d94cc7a1e25bd469ab654a41465.600x448x73.gif,https://open.spotify.com/embed/artist/4Q3A7ukbHFR5xThu9hZDZt?utm_source=generator&theme=0
"Whatever, Dad",1wMNhhG8VUhDGZ249MZBtn,55,https://images.genius.com/375618ea11fab0e3c87cfd7c4b9af841.300x300x1.png,https://open.spotify.com/embed/artist/1wMNhhG8VUhDGZ249MZBtn?utm_source=generator&theme=0
Bully,34LdbFt5sVXKTJOzf1iExQ,46,https://images.genius.com/0e995cc59d13059bef6562ed37898d4f.750x750x1.png,https://open.spotify.com/embed/artist/34LdbFt5sVXKTJOzf1iExQ?utm_source=generator&theme=0
Caroline Spence,4De2r7QdHl1eZwnEnQ1IzE,46,https://images.genius.com/62c537305d7d73ac5f7261520c4796ab.423x423x1.jpg,https://open.spotify.com/embed/artist/4De2r7QdHl1eZwnEnQ1IzE?utm_source=generator&theme=0
Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,58,https://images.genius.com/292f1f671ec253f3d1aa36356f2b3a5f.499x499x1.jpg,https://open.spotify.com/embed/artist/73MDShZzdL4vUGMkmXOG6X?utm_source=generator&theme=0
Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,60,https://images.genius.com/cedab42d89d40f5ed8ba034d6b589c9c.1000x1000x1.png,https://open.spotify.com/embed/artist/3ETLPQkcEd7z4k3IbZmXMq?utm_source=generator&theme=0
Zeph,502gYHkFCtLzBIcU4ctPLd,65,https://images.genius.com/50cfce70223f2bd3f2f348295dbf8ffa.1000x667x1.jpg,https://open.spotify.com/embed/artist/502gYHkFCtLzBIcU4ctPLd?utm_source=generator&theme=0
WILLOW,3rWZHrfrsPBxVy692yAIxF,74,https://images.genius.com/a08c86e1ced206a2bee774f5106d313a.1000x1000x1.jpg,https://open.spotify.com/embed/artist/3rWZHrfrsPBxVy692yAIxF?utm_source=generator&theme=0
ML Buch,3NsSv8HchEwfa7bGkjb4ZC,39,https://images.genius.com/01b58a20e8cb1e0d22dcf57139447804.1000x1000x1.jpg,https://open.spotify.com/embed/artist/3NsSv8HchEwfa7bGkjb4ZC?utm_source=generator&theme=0
Squirrel Flower,7bI1v9NGBBhq8iGfytctni,51,https://images.genius.com/5fb2bd98da012a930ef6ede397dd95dc.838x838x1.jpg,https://open.spotify.com/embed/artist/7bI1v9NGBBhq8iGfytctni?utm_source=generator&theme=0
Gloria Laing,3aO4DL5c2uBGD8EUuP7sxi,37,https://images.genius.com/39f9576fc9b58cd1c3509bee6bdd7300.620x620x1.jpg,https://open.spotify.com/embed/artist/3aO4DL5c2uBGD8EUuP7sxi?utm_source=generator&theme=0
Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,67,https://images.genius.com/502ecc2e6ccccd77a1396a6c45781f35.400x400x1.jpg,https://open.spotify.com/embed/artist/1cZQSpDsxgKIX2yW5OR9Ot?utm_source=generator&theme=0
Hannah Cohen,7ovXNdlB2DNSC16TbKgros,36,https://images.genius.com/79fe91466e8f67c7eade2e318aa6c521.1000x1000x1.jpg,https://open.spotify.com/embed/artist/7ovXNdlB2DNSC16TbKgros?utm_source=generator&theme=0
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,79,https://images.genius.com/ed0b429ec032e686dbae4285bd41f278.1000x1000x1.jpg,https://open.spotify.com/embed/artist/1r1uxoy19fzMxunt3ONAkG?utm_source=generator&theme=0
Hana Vu,3diDUq8QMCCtx8a4Jy42aO,40,https://images.genius.com/052a641e05fa65c99ef0e3d837855fa4.1000x1000x1.jpg,https://open.spotify.com/embed/artist/3diDUq8QMCCtx8a4Jy42aO?utm_source=generator&theme=0
Katie Gregson-MacLeod,2xCYQunn7ZXK6qOwXWPvcF,53,https://images.genius.com/76ffcbe5fff63eeb60035760f6f2f65c.183x183x1.jpg,https://open.spotify.com/embed/artist/2xCYQunn7ZXK6qOwXWPvcF?utm_source=generator&theme=0
UMI,4ClziihVpBeFXNyDH83Lde,64,https://images.genius.com/9ad3444885002ec565f970ad275e1bbb.819x819x1.jpg,https://open.spotify.com/embed/artist/4ClziihVpBeFXNyDH83Lde?utm_source=generator&theme=0
Margaret Glaspy,13YVfXddjRIUrubItJjadb,37,https://images.genius.com/7d8e9813621642f17fbfea4ec0a9afb0.1000x1000x1.jpg,https://open.spotify.com/embed/artist/13YVfXddjRIUrubItJjadb?utm_source=generator&theme=0
Ethel Cain,0avMDS4HyoCEP6RqZJWpY2,64,https://images.genius.com/79881b8a45a804008dfd6112191a2ad9.1000x1000x1.png,https://open.spotify.com/embed/artist/0avMDS4HyoCEP6RqZJWpY2?utm_source=generator&theme=0
Buzzy Lee,0cz2DZrX5wGn1XUdIPKYYQ,41,https://images.genius.com/fb8b783665d9e9de8a61eb365247afff.1000x1000x1.jpg,https://open.spotify.com/embed/artist/0cz2DZrX5wGn1XUdIPKYYQ?utm_source=generator&theme=0
Natalie Prass,0EmUT6i9rTu9ZHy1Tl1iuX,38,https://images.genius.com/d69932febdde5145452f0ebfbe24c99a.620x413x1.jpg,https://open.spotify.com/embed/artist/0EmUT6i9rTu9ZHy1Tl1iuX?utm_source=generator&theme=0
Arlo Parks,4kIwETcbpuFgRukE8o7Opx,63,https://images.genius.com/c2d5b225ebf57f2c8e2c27137dbf4f91.1000x1000x1.jpg,https://open.spotify.com/embed/artist/4kIwETcbpuFgRukE8o7Opx?utm_source=generator&theme=0
Olive Klug,3SEtmo8E5DJVuGddKYqeiU,47,https://images.genius.com/fa02b3a5606ccd03e80122d1dd46bca2.1000x1000x1.jpg,https://open.spotify.com/embed/artist/3SEtmo8E5DJVuGddKYqeiU?utm_source=generator&theme=0
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,65,https://images.genius.com/349995d996a07c44e03d4bc440f0884f.847x847x1.jpg,https://open.spotify.com/embed/artist/6nB0iY1cjSY1KyhYyuIIKH?utm_source=generator&theme=0
Coco & Clair Clair,5FkMS3KgG0cjiRm250NFTJ,60,https://images.genius.com/eba547a2e356908489f4417b172549be.640x638x1.jpg,https://open.spotify.com/embed/artist/5FkMS3KgG0cjiRm250NFTJ?utm_source=generator&theme=0
Lady Lamb,2wunbYU5KWrpI7RCRBkwF0,39,https://images.genius.com/24f8e6ba300fe552f57068b7c36fabf7.600x600x1.jpg,https://open.spotify.com/embed/artist/2wunbYU5KWrpI7RCRBkwF0?utm_source=generator&theme=0
Kelsey Lu,0fEfMW5bypHZ0A8eLnhwj5,47,https://images.genius.com/fcd457d6b989192344436ca5500c0fab.1000x1000x1.jpg,https://open.spotify.com/embed/artist/0fEfMW5bypHZ0A8eLnhwj5?utm_source=generator&theme=0
dodie,21TinSsF5ytwsfdyz5VSVS,63,https://images.genius.com/b37c8d9bab44e4ad9e933a89a708cd22.400x400x1.jpg,https://open.spotify.com/embed/artist/21TinSsF5ytwsfdyz5VSVS?utm_source=generator&theme=0
Joy Williams,4TCXgdDPm10ensLNCVnIYa,62,https://images.genius.com/d2072fb0e084891f2719bab7c486ea7c.400x400x1.jpg,https://open.spotify.com/embed/artist/4TCXgdDPm10ensLNCVnIYa?utm_source=generator&theme=0
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,52,https://images.genius.com/a8fa1c0b21499013ace14386ce1ac79d.512x512x1.jpg,https://open.spotify.com/embed/artist/7GlBOeep6PqTfFi59PTUUN?utm_source=generator&theme=0
Tia Gostelow,4blt4zG5qMjWCPymNjDNP5,40,https://images.genius.com/039ffd418db724da40ebe893a6ef162b.958x958x1.jpg,https://open.spotify.com/embed/artist/4blt4zG5qMjWCPymNjDNP5?utm_source=generator&theme=0
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,54,https://images.genius.com/5e7d50e2703145b30a3ee2d7a399f143.506x506x1.jpg,https://open.spotify.com/embed/artist/1f3ubTd6eyxuy30ddDJQQa?utm_source=generator&theme=0
Clairo,3l0CmX0FuQjFxr8SK7Vqag,77,https://images.genius.com/9a3ca9aa1a7c8d2b77efce8459b31577.960x960x1.jpg,https://open.spotify.com/embed/artist/3l0CmX0FuQjFxr8SK7Vqag?utm_source=generator&theme=0
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,52,https://images.genius.com/6b3594da17ab8fd9a3521874bd481a82.926x926x1.jpg,https://open.spotify.com/embed/artist/3lmR0qMiGuoIF9UC54egcG?utm_source=generator&theme=0
Ashe,6P5NO5hzJbuOqSdyPB7SJM,71,https://images.genius.com/690cd786bd8af88d62938e70aa407d40.1000x1000x1.jpg,https://open.spotify.com/embed/artist/6P5NO5hzJbuOqSdyPB7SJM?utm_source=generator&theme=0
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,46,https://images.genius.com/f8ec81b4d71b4b3e00e1b60e9e672a4c.534x534x1.png,https://open.spotify.com/embed/artist/0LZac5VicY19QLaIUvIB0G?utm_source=generator&theme=0
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,55,https://images.genius.com/ccdb1e2a0e6a51ded40bfb1e8290f7db.1000x1000x1.jpg,https://open.spotify.com/embed/artist/58hqTaCiqGrMsNmmm3qL7w?utm_source=generator&theme=0
Charlotte Cornfield,59aqTTQGnvttJ4BCThaABZ,31,https://images.genius.com/e4562697302ff5854c0bff6f3d90204a.617x617x1.jpg,https://open.spotify.com/embed/artist/59aqTTQGnvttJ4BCThaABZ?utm_source=generator&theme=0
Genevieve Stokes,2uaMjmR0IE0K3oKTQrNZVQ,59,https://images.genius.com/a60a2f8173c94580960393c8e0acab43.1000x1000x1.jpg,https://open.spotify.com/embed/artist/2uaMjmR0IE0K3oKTQrNZVQ?utm_source=generator&theme=0
JESSIA,6DdbeAeBlrYj8bNToZv4TY,56,https://images.genius.com/e0a431acf76be4fca01c0ec394ea63ae.1000x1000x1.jpg,https://open.spotify.com/embed/artist/6DdbeAeBlrYj8bNToZv4TY?utm_source=generator&theme=0
NERIAH,1dUrqVHcv2FCXxlIqzIbiG,59,https://images.genius.com/c8a5b8e18516de9ddc25bc4cf1afeebb.300x300x1.jpg,https://open.spotify.com/embed/artist/1dUrqVHcv2FCXxlIqzIbiG?utm_source=generator&theme=0
Fenne Lily,7iPH2BRBF9wKa6ljxvdext,51,https://images.genius.com/96c4238ec94cd0aaa0d62d4f1bbc82fd.1000x1000x1.jpg,https://open.spotify.com/embed/artist/7iPH2BRBF9wKa6ljxvdext?utm_source=generator&theme=0
Ruby Fields,1nwPEi1UZdJtCxBqATpsq3,43,https://images.genius.com/41c3e8365bd324650dd74a9cf1cc3091.958x958x1.jpg,https://open.spotify.com/embed/artist/1nwPEi1UZdJtCxBqATpsq3?utm_source=generator&theme=0
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,71,https://images.genius.com/1eec9d49dbff80d4706aa8ccac1f16a4.400x400x1.jpg,https://open.spotify.com/embed/artist/4NZvixzsSefsNiIqXn0NDe?utm_source=generator&theme=0
Solange,2auiVi8sUZo17dLy1HwrTU,63,https://images.genius.com/82f0c9f55c4f1adbd9e7344fbbd427ae.1000x1000x1.png,https://open.spotify.com/embed/artist/2auiVi8sUZo17dLy1HwrTU?utm_source=generator&theme=0
Sudan Archives,2MPHBxznH1fj59jbOWY38u,53,https://images.genius.com/fdb9f6685e5c451e540063dde8c72529.640x640x1.jpg,https://open.spotify.com/embed/artist/2MPHBxznH1fj59jbOWY38u?utm_source=generator&theme=0
Sophie Cates,4xjJOu0MWVWuaDVZOy0Dx2,41,https://images.genius.com/f9555ae0007d8ee64c4b1cbdbd1240d9.400x400x1.jpg,https://open.spotify.com/embed/artist/4xjJOu0MWVWuaDVZOy0Dx2?utm_source=generator&theme=0
Helena Deland,0BJeP79i5wKgCqsEEiQ7G0,44,https://images.genius.com/d2b96722fc148c5907930daf2ada33b0.959x959x1.jpg,https://open.spotify.com/embed/artist/0BJeP79i5wKgCqsEEiQ7G0?utm_source=generator&theme=0
Maddie Zahm,5dtPlx7yKOo7KdZGyrfFIq,61,https://images.genius.com/2c5f3f9f13a65c66b47ba8282a328ba8.820x820x1.png,https://open.spotify.com/embed/artist/5dtPlx7yKOo7KdZGyrfFIq?utm_source=generator&theme=0
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,60,https://images.genius.com/6350c8264a502c70f41e63d0cdfb2152.1000x1000x1.jpg,https://open.spotify.com/embed/artist/0AsThoR4KZSVktALiNcQwW?utm_source=generator&theme=0
Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,52,https://images.genius.com/02258f5aba60bdf7fe225f89da44223e.900x900x1.jpg,https://open.spotify.com/embed/artist/5IWCU0V9evBlW4gIeGY4zF?utm_source=generator&theme=0
Biig Piig,4GoD5FJCgC0lbzde7ly44M,63,https://images.genius.com/35915eb2a97fbc656a754143cee55ee7.1000x1000x1.jpg,https://open.spotify.com/embed/artist/4GoD5FJCgC0lbzde7ly44M?utm_source=generator&theme=0
